,title,artist,genre,year,added,bpm,energy,danceability,db,liveness,valence,duration,acousticness,speechiness,popularity,country
0,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,world
1,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,world
2,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,world
3,Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,world
4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,world
5,everything i wanted,Billie Eilish,electropop,2019,1969-12-31,120.0,23.0,70.0,-14.0,11.0,24.0,245,90.0,10.0,98,world
6,Falling,Trevor Daniel,alternative r&b,2018,1969-12-31,127.0,43.0,78.0,-9.0,9.0,24.0,159,12.0,4.0,97,world
7,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,1969-12-31,105.0,72.0,72.0,-7.0,24.0,67.0,222,3.0,7.0,97,world
8,Don't Start Now,Dua Lipa,dance pop,2019,1969-12-31,124.0,79.0,79.0,-5.0,10.0,68.0,183,1.0,8.0,97,world
9,Tusa,KAROL G,latin,2019,1969-12-31,101.0,72.0,80.0,-3.0,6.0,57.0,201,30.0,30.0,96,world
10,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,1969-12-31,171.0,80.0,51.0,-4.0,9.0,35.0,202,0.0,6.0,96,world
11,Someone You Loved,Lewis Capaldi,pop,2019,1969-12-31,110.0,41.0,50.0,-6.0,11.0,45.0,182,75.0,3.0,96,world
12,Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,world
13,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,world
14,Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,world
15,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,world
16,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,world
17,Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,world
18,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,world
19,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,world
20,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,1969-12-31,79.0,21.0,32.0,-15.0,14.0,21.0,192,92.0,3.0,89,world
21,White Christmas,Bing Crosby,adult standards,1942,1969-12-31,131.0,16.0,32.0,-16.0,34.0,25.0,177,67.0,4.0,89,world
22,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,world
23,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,1969-12-31,75.0,18.0,44.0,-9.0,32.0,34.0,171,96.0,4.0,89,world
24,Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,world
25,Underneath the Tree,Kelly Clarkson,dance pop,2013,1969-12-31,160.0,81.0,51.0,-5.0,21.0,69.0,230,0.0,5.0,88,world
26,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,1969-12-31,113.0,28.0,73.0,-12.0,12.0,72.0,156,76.0,6.0,88,world
27,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,1969-12-31,129.0,84.0,67.0,-4.0,11.0,84.0,126,61.0,3.0,88,world
28,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,1969-12-31,127.0,78.0,57.0,-7.0,11.0,70.0,153,2.0,3.0,88,world
30,Blue Christmas,Elvis Presley,adult standards,1957,1969-12-31,95.0,27.0,47.0,-17.0,14.0,58.0,129,90.0,4.0,87,world
31,Run Rudolph Run - Single Version,Chuck Berry,blues rock,1986,1969-12-31,152.0,72.0,68.0,-11.0,8.0,96.0,166,81.0,9.0,87,world
32,Step Into Christmas,Elton John,glam rock,1973,1969-12-31,140.0,93.0,53.0,-6.0,31.0,82.0,272,10.0,4.0,87,world
33,Christmas Lights,Coldplay,permanent wave,2010,1969-12-31,131.0,42.0,31.0,-9.0,8.0,24.0,242,13.0,3.0,87,world
34,Santa Baby,Ariana Grande,dance pop,2013,1969-12-31,96.0,78.0,75.0,-6.0,28.0,77.0,171,5.0,14.0,87,world
35,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,1969-12-31,119.0,65.0,32.0,-6.0,24.0,47.0,272,50.0,3.0,86,world
36,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,1969-12-31,140.0,67.0,36.0,-8.0,73.0,41.0,268,36.0,5.0,86,world
37,Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,world
38,Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,world
39,Santa Claus Is Coming To Town,The Jackson 5,adult standards,1970,1969-12-31,147.0,76.0,69.0,-5.0,18.0,96.0,144,42.0,3.0,85,world
40,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,1969-12-31,93.0,22.0,33.0,-11.0,34.0,36.0,207,88.0,3.0,84,world
41,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,1969-12-31,129.0,71.0,58.0,-8.0,82.0,61.0,181,26.0,5.0,84,world
42,My Only Wish (This Year),Britney Spears,dance pop,2019,1969-12-31,147.0,73.0,67.0,-7.0,20.0,68.0,255,23.0,3.0,84,world
43,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,1969-12-31,140.0,37.0,67.0,-13.0,10.0,86.0,133,59.0,3.0,83,world
44,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,1969-12-31,180.0,58.0,51.0,-11.0,18.0,87.0,242,36.0,4.0,83,world
45,Holly Jolly Christmas,Michael Bublé,adult standards,2011,1969-12-31,151.0,43.0,61.0,-9.0,9.0,74.0,122,86.0,4.0,82,world
46,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,1969-12-31,126.0,76.0,34.0,-7.0,8.0,36.0,166,39.0,5.0,82,world
47,Sleigh Ride,The Ronettes,adult standards,2019,1969-12-31,92.0,77.0,53.0,-7.0,32.0,85.0,181,40.0,3.0,77,world
48,Santa Claus Is Coming to Town,Michael Bublé,adult standards,2011,1969-12-31,123.0,40.0,59.0,-7.0,4.0,42.0,172,79.0,5.0,75,world
49,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,1969-12-31,102.0,71.0,76.0,-10.0,8.0,96.0,224,16.0,3.0,69,world
50,Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,africa
51,Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,africa
52,Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,africa
53,ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,africa
54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,africa
55,Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,africa
56,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,africa
57,Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,africa
58,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,africa
59,Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,africa
60,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,africa
61,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,africa
62,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,africa
63,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,1969-12-31,79.0,21.0,32.0,-15.0,14.0,21.0,192,92.0,3.0,89,africa
64,White Christmas,Bing Crosby,adult standards,1942,1969-12-31,131.0,16.0,32.0,-16.0,34.0,25.0,177,67.0,4.0,89,africa
65,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,africa
66,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,1969-12-31,75.0,18.0,44.0,-9.0,32.0,34.0,171,96.0,4.0,89,africa
